name,duration,playcount,listeners,mbid,url,artist
Washing Machine Heart,0,1386365,138987,,https://www.last.fm/music/Mitski/_/Washing+Machine+Heart,Mitski
Everybody Talks,177,3240247,493037,7be8d679-53b5-4fde-909e-de2dfd433c6b,https://www.last.fm/music/Neon+Trees/_/Everybody+Talks,Neon Trees
Often,249,2889906,346193,e5dd9ecb-3fd1-4e85-9c4b-521ec87c8840,https://www.last.fm/music/The+Weeknd/_/Often,The Weeknd
LA DI DA,0,1949529,86720,,https://www.last.fm/music/Everglow/_/LA+DI+DA,Everglow
Butterfly Effect,0,821973,123644,,https://www.last.fm/music/Travis+Scott/_/Butterfly+Effect,Travis Scott
hOaX,0,2017102,161065,,https://www.last.fm/music/Taylor+Swift/_/hOaX,Taylor Swift
Stargazing,0,859754,122417,,https://www.last.fm/music/Travis+Scott/_/Stargazing,Travis Scott
a boy is a gun*,0,1876755,208806,,"https://www.last.fm/music/Tyler,+the+Creator/_/a+boy+is+a+gun%2A","Tyler, the Creator"
Better Now,0,3494406,344664,,https://www.last.fm/music/Post+Malone/_/Better+Now,Post Malone
POTATO SALAD,0,1831658,191824,,"https://www.last.fm/music/Tyler,+the+Creator/_/POTATO+SALAD","Tyler, the Creator"
Killing in the Name,315,9613649,1366210,5f64bf87-a18e-4ac0-8a49-dc1d500a8ba5,https://www.last.fm/music/Rage+Against+the+Machine/_/Killing+in+the+Name,Rage Against the Machine
New Rules,0,5647851,456967,,https://www.last.fm/music/Dua+Lipa/_/New+Rules,Dua Lipa
The Middle,167,7873201,1079037,e3b7cd96-c41d-497a-b401-dc7494f638db,https://www.last.fm/music/Jimmy+Eat+World/_/The+Middle,Jimmy Eat World
hot girl bummer,0,2448140,232829,,https://www.last.fm/music/Blackbear/_/hot+girl+bummer,Blackbear
Blue World,0,1722613,181020,,https://www.last.fm/music/Mac+Miller/_/Blue+World,Mac Miller
Believer,0,4329244,437224,,https://www.last.fm/music/Imagine+Dragons/_/Believer,Imagine Dragons
Only Wanna Be With You - Pokémon 25 Version,0,142101,36582,,https://www.last.fm/music/Post+Malone/_/Only+Wanna+Be+With+You+-+Pok%C3%A9mon+25+Version,Post Malone
"New Person, Same Old Mistakes",0,2853877,340615,,"https://www.last.fm/music/Tame+Impala/_/New+Person,+Same+Old+Mistakes",Tame Impala
