track,artist,playcount,listeners,tag,tag_count,rank
Dynamite,BTS,55210832,293150,pop,100,0
Dynamite,BTS,55210832,293150,bts,89,1
Dynamite,BTS,55210832,293150,Disco,67,2
Dynamite,BTS,55210832,293150,k-pop,67,3
Dynamite,BTS,55210832,293150,Kpop,67,4
Life Goes On,BTS,36630872,131751,bts,100,0
Life Goes On,BTS,36630872,131751,k-pop,58,1
Life Goes On,BTS,36630872,131751,Korean,29,2
Life Goes On,BTS,36630872,131751,Kpop,29,3
Life Goes On,BTS,36630872,131751,jin,29,4
Boy With Luv (Feat. Halsey),BTS,33875259,264413,bots,100,0
Boy With Luv (Feat. Halsey),BTS,33875259,264413,k-pop,48,1
Boy With Luv (Feat. Halsey),BTS,33875259,264413,pop,34,2
Boy With Luv (Feat. Halsey),BTS,33875259,264413,Kpop,34,3
Boy With Luv (Feat. Halsey),BTS,33875259,264413,bts,34,4
Mr. Brightside,The Killers,23645468,2200687,rock,100,0
Mr. Brightside,The Killers,23645468,2200687,indie,85,1
Mr. Brightside,The Killers,23645468,2200687,indie rock,77,2
Mr. Brightside,The Killers,23645468,2200687,alternative,69,3
Mr. Brightside,The Killers,23645468,2200687,alternative rock,56,4
ON,BTS,18912307,159773,bots,100,0
ON,BTS,18912307,159773,Kpop,50,1
ON,BTS,18912307,159773,bts,50,2
ON,BTS,18912307,159773,black metal,34,3
ON,BTS,18912307,159773,pop,17,4
IDOL,BTS,18718906,167365,bts,100,0
IDOL,BTS,18718906,167365,k-pop,73,1
IDOL,BTS,18718906,167365,Kpop,73,2
IDOL,BTS,18718906,167365,pop,64,3
IDOL,BTS,18718906,167365,EDM,46,4
Smells Like Teen Spirit,Nirvana,18263087,2278769,Grunge,100,0
Smells Like Teen Spirit,Nirvana,18263087,2278769,rock,69,1
Smells Like Teen Spirit,Nirvana,18263087,2278769,Nirvana,43,2
Smells Like Teen Spirit,Nirvana,18263087,2278769,90s,42,3
Smells Like Teen Spirit,Nirvana,18263087,2278769,alternative,41,4
Viva la Vida,Coldplay,17022729,1796847,Coldplay,100,0
Viva la Vida,Coldplay,17022729,1796847,alternative,70,1
Viva la Vida,Coldplay,17022729,1796847,rock,68,2
Viva la Vida,Coldplay,17022729,1796847,alternative rock,52,3
Viva la Vida,Coldplay,17022729,1796847,viva la vida,51,4
Kids,MGMT,16685449,1754894,electronic,100,0
Kids,MGMT,16685449,1754894,indie,94,1
Kids,MGMT,16685449,1754894,alternative,51,2
Kids,MGMT,16685449,1754894,dance,48,3
Kids,MGMT,16685449,1754894,electro,38,4
Wonderwall,Oasis,16488872,1988260,rock,100,0
Wonderwall,Oasis,16488872,1988260,britpop,94,1
Wonderwall,Oasis,16488872,1988260,90s,61,2
Wonderwall,Oasis,16488872,1988260,alternative,57,3
Wonderwall,Oasis,16488872,1988260,oasis,56,4
Creep,Radiohead,16407429,1827334,alternative,100,0
Creep,Radiohead,16407429,1827334,rock,90,1
Creep,Radiohead,16407429,1827334,alternative rock,82,2
Creep,Radiohead,16407429,1827334,radiohead,65,3
Creep,Radiohead,16407429,1827334,indie,49,4
Karma Police,Radiohead,16138326,1776225,alternative,100,0
Karma Police,Radiohead,16138326,1776225,alternative rock,76,1
Karma Police,Radiohead,16138326,1776225,rock,75,2
Karma Police,Radiohead,16138326,1776225,radiohead,69,3
Karma Police,Radiohead,16138326,1776225,indie,54,4
Black Swan,BTS,16103914,162810,bots,100,0
Black Swan,BTS,16103914,162810,bts,75,1
Black Swan,BTS,16103914,162810,Kpop,50,2
Black Swan,BTS,16103914,162810,emo hip hop,38,3
Black Swan,BTS,16103914,162810,black metal,25,4
Sex on Fire,Kings of Leon,16013558,1610320,rock,100,0
Sex on Fire,Kings of Leon,16013558,1610320,indie rock,79,1
Sex on Fire,Kings of Leon,16013558,1610320,alternative,63,2
Sex on Fire,Kings of Leon,16013558,1610320,indie,41,3
Sex on Fire,Kings of Leon,16013558,1610320,i fucking love this song,31,4
The Scientist,Coldplay,15856411,1758895,Coldplay,100,0
The Scientist,Coldplay,15856411,1758895,rock,92,1
The Scientist,Coldplay,15856411,1758895,alternative,82,2
The Scientist,Coldplay,15856411,1758895,britpop,74,3
The Scientist,Coldplay,15856411,1758895,british,54,4
FAKE LOVE,BTS,15828543,187287,Kpop,100,0
FAKE LOVE,BTS,15828543,187287,bts,100,1
FAKE LOVE,BTS,15828543,187287,k-pop,75,2
FAKE LOVE,BTS,15828543,187287,pop,57,3
FAKE LOVE,BTS,15828543,187287,Korean,57,4
Do I Wanna Know?,Arctic Monkeys,15596807,1138871,indie rock,100,0
Do I Wanna Know?,Arctic Monkeys,15596807,1138871,indie,66,1
Do I Wanna Know?,Arctic Monkeys,15596807,1138871,alternative,61,2
Do I Wanna Know?,Arctic Monkeys,15596807,1138871,arctic monkeys,45,3
Do I Wanna Know?,Arctic Monkeys,15596807,1138871,rock,38,4
Come as You Are,Nirvana,15470823,2006938,Grunge,100,0
Come as You Are,Nirvana,15470823,2006938,rock,63,1
Come as You Are,Nirvana,15470823,2006938,Nirvana,45,2
Come as You Are,Nirvana,15470823,2006938,90s,41,3
Come as You Are,Nirvana,15470823,2006938,alternative,37,4
Poker Face,Lady Gaga,15168623,1611925,pop,100,0
Poker Face,Lady Gaga,15168623,1611925,dance,100,1
Poker Face,Lady Gaga,15168623,1611925,Lady Gaga,89,2
Poker Face,Lady Gaga,15168623,1611925,electronic,48,3
Poker Face,Lady Gaga,15168623,1611925,party,39,4
Supermassive Black Hole,Muse,15168309,1470400,alternative rock,100,0
Supermassive Black Hole,Muse,15168309,1470400,rock,89,1
Supermassive Black Hole,Muse,15168309,1470400,alternative,63,2
Supermassive Black Hole,Muse,15168309,1470400,Muse,50,3
Supermassive Black Hole,Muse,15168309,1470400,british,44,4
